Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Wednesday,31-50,Male,Elementary school,5-10yr,Public (12 seats),2.0,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,13
Monday,31-50,Male,Junior high school,5-10yr,Automobile,0.0,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,18
Thursday,31-50,Male,Junior high school,5-10yr,Automobile,2.0,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overtaking,Slight Injury,11
Thursday,31-50,Male,Elementary school,Above 10yr,Automobile,0.0,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,11
Thursday,31-50,Male,Junior high school,Below 1yr,Bajaj,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,11
Thursday,31-50,Male,Junior high school,5-10yr,Public (12 seats),5.0,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,11
Tuesday,Over 51,Male,Elementary school,1-2yr,Lorry (11?40Q),8.0,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Pedestrian,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Serious Injury,15
Sunday,31-50,Male,Junior high school,Above 10yr,Automobile,8.0,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,20
Sunday,Under 18,Male,High school,2-5yr,Automobile,0.0, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,20
Wednesday,31-50,Male,Junior high school,1-2yr,Lorry (11?40Q),0.0, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the left,Serious Injury,18
Wednesday,31-50,Male,Junior high school,1-2yr,Lorry (41?100Q),2.0,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Overturning,Serious Injury,18
Sunday,Over 51,Male,Above high school,2-5yr,Pick up upto 10Q,0.0, Church areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,15
Sunday,Over 51,Male,Junior high school,5-10yr,Lorry (11?40Q),0.0,Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,Pedestrian,Female,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,15
Wednesday,Over 51,Male,Junior high school,1-2yr,Other,0.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,23
Wednesday,31-50,Male,Junior high school,5-10yr,Other,8.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Reversing,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,23
Monday,18-30,Male,Junior high school,2-5yr,Automobile,5.0,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Serious Injury,7
Sunday,31-50,Male,Junior high school,5-10yr,Automobile,5.0,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Fatal injury,15
Sunday,31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Fatal injury,15
Monday,18-30,Male,Elementary school,2-5yr,Other,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,15
Monday,18-30,Male,Elementary school,Above 10yr,Lorry (41?100Q),13.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,15
Sunday,Over 51,Male,Junior high school,1-2yr,Automobile,0.0, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,9
Sunday,Over 51,Male,Junior high school,5-10yr,Pick up upto 10Q,0.0, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,9
Thursday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),5.0,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,17
Thursday,18-30,Male,Junior high school,2-5yr,Public (13?45 seats),0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,17
Thursday,31-50,Male,Junior high school,2-5yr,Long lorry,8.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,17
Sunday,Over 51,Male,Junior high school,Above 10yr,Automobile,8.0, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,20
Thursday,18-30,Male,Junior high school,Above 10yr,Other,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,21
Thursday,31-50,Male,Elementary school,5-10yr,Automobile,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,21
Monday,18-30,Male,Junior high school,5-10yr,Long lorry,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Monday,18-30,Male,Junior high school,2-5yr,Public (12 seats),0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Thursday,Under 18,Male,Junior high school,5-10yr,Other,0.0,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Not a Pedestrian,Driving at high speed,Serious Injury,23
Thursday,Under 18,Male,Junior high school,Above 10yr,Public (12 seats),0.0,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,No priority to vehicle,Serious Injury,23
Thursday,Under 18,Male,Elementary school,Below 1yr,Lorry (41?100Q),0.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Serious Injury,23
